,Ref_DOI_number,Ref_publication_date,Ref_journal,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,JV_light_intensity,Perovskite_band_gap,Perovskite_composition_short_form,Cell_architecture,DOI,Citations,Journal,Publication_date
3555,10.1039/c4ta05352d,2014-10-09,J. Mater. Chem. A,1.0,20.61,0.725,15.0,100.0,1.6,MAPbI,pin,10.1039/c4ta05352d,168,J. Mater. Chem. A,2014-10-09
3556,10.1039/c6ta09036b,2016-11-28,Journal of Materials Chemistry A,0.893,22.426,0.747,15.0,100.0,1.6,MAPbI,nip,10.1039/c6ta09036b,66,Journal of Materials Chemistry A,2016-11-28
3557,10.1002/pssr.201510386,2015-11-24,physica status solidi (RRL) - Rapid Research Letters,0.998,20.4,0.73,15.0,100.0,1.59,MAPbI,nip,10.1002/pssr.201510386,17,physica status solidi (RRL) - Rapid Research Letters,2015-11-24
3558,10.1021/acsami.8b05956,2018-06-19,ACS Applied Materials & Interfaces,1.05,18.61,0.76,15.0,100.0,1.55,MAPbI,pin,10.1021/acsami.8b05956,29,ACS Applied Materials & Interfaces,2018-06-19
3559,10.1039/c8ra03162b,2018-06-22,RSC Advances,1.06,19.14,0.7390000000000001,15.0,100.0,1.6,MAPbI,nip,10.1039/c8ra03162b,9,RSC Advances,2018-06-22
3560,10.1149/2.0161706jss,2017-01-27,ECS Journal of Solid State Science and Technology,0.984,21.1,0.723,15.0,100.0,1.56,MAPbI,nip,10.1149/2.0161706jss,11,ECS Journal of Solid State Science and Technology,2017-01-27
3561,10.1002/aelm.201600470,2016-12-30,Advanced Electronic Materials,1.07,21.3,0.68,15.0,100.0,1.6,MAPbI,nip,10.1002/aelm.201600470,55,Advanced Electronic Materials,2016-12-30
3562,10.1016/j.mtchem.2016.12.003,2017-05-02,Materials Today Chemistry,0.989,21.36,0.71,15.0,100.0,1.55,MAPbI,nip,10.1016/j.mtchem.2016.12.003,17,Materials Today Chemistry,2017-05-02
3563,10.1021/jacs.8b04604,2018-08-30,Journal of the American Chemical Society,1.07,18.89,0.763,15.0,100.0,,(ThMA)MAPbI,pin,10.1021/jacs.8b04604,266,Journal of the American Chemical Society,2018-08-30
3564,10.1016/j.tsf.2019.137694,2019-11-08,Thin Solid Films,1.02,22.9,0.647,15.0,100.0,1.6,MAPbI,nip,10.1016/j.tsf.2019.137694,10,Thin Solid Films,2019-11-08
